country,year,life_exp,ppp_cap,name,brk_a3
Italy,1973,72.4,21400,Italy,ITA
Italy,1974,72.8,22400,Italy,ITA
Italy,1975,72.9,21900,Italy,ITA
Italy,1976,73.1,23400,Italy,ITA
Italy,1977,73.5,24100,Italy,ITA
Italy,1978,73.8,25100,Italy,ITA
Italy,1979,74.1,26700,Italy,ITA
Italy,1980,74.2,27800,Italy,ITA
Italy,1981,74.6,28000,Italy,ITA
Italy,1982,75,28300,Italy,ITA
Italy,1983,75,28800,Italy,ITA
Italy,1984,75.5,29700,Italy,ITA
Italy,1985,75.8,30700,Italy,ITA
Italy,1986,76.1,31800,Italy,ITA
Italy,1987,76.5,33000,Italy,ITA
Italy,1988,76.7,34500,Italy,ITA
Italy,1989,77,35700,Italy,ITA
Italy,1990,77.2,36700,Italy,ITA
Italy,1991,77.3,37200,Italy,ITA
Italy,1992,77.5,37500,Italy,ITA
Italy,1993,77.8,37200,Italy,ITA
Italy,1994,78,38000,Italy,ITA
Italy,1995,78.2,39100,Italy,ITA
Italy,1996,78.5,39600,Italy,ITA
Italy,1997,78.8,40300,Italy,ITA
Italy,1998,79,41000,Italy,ITA
Italy,1999,79.3,41600,Italy,ITA
Italy,2000,79.6,43200,Italy,ITA
Italy,2001,79.9,44000,Italy,ITA
Italy,2002,80.2,44100,Italy,ITA
Italy,2003,80.3,43900,Italy,ITA
Italy,2004,80.8,44300,Italy,ITA
Italy,2005,81,44400,Italy,ITA
Italy,2006,81.3,45100,Italy,ITA
Italy,2007,81.5,45500,Italy,ITA
Italy,2008,81.6,44800,Italy,ITA
Italy,2009,81.8,42200,Italy,ITA
Italy,2010,82.1,42800,Italy,ITA
Italy,2011,82.2,43000,Italy,ITA
Italy,2012,82.4,41600,Italy,ITA
Italy,2013,82.6,40400,Italy,ITA
Italy,2014,82.8,40000,Italy,ITA
Italy,2015,82.7,40400,Italy,ITA
Italy,2016,83,41000,Italy,ITA
Italy,2017,83.1,41700,Italy,ITA
Italy,2018,83.1,42200,Italy,ITA
Italy,2019,83.1,42400,Italy,ITA
Italy,2020,81.9,38700,Italy,ITA
Italy,2021,83.4,40400,Italy,ITA
Russia,1949,55,5450,Russia,RUS
Russia,1950,57.3,5780,Russia,RUS
Russia,1951,60,5590,Russia,RUS
Russia,1952,62.5,5720,Russia,RUS
Russia,1953,65.1,5750,Russia,RUS
Russia,1954,67.4,5790,Russia,RUS
Russia,1955,67.7,6040,Russia,RUS
Russia,1956,67.9,6360,Russia,RUS
Russia,1957,68,6230,Russia,RUS
Russia,1958,68.2,6420,Russia,RUS
Russia,1959,68.1,6090,Russia,RUS
Russia,1960,69,6390,Russia,RUS
Russia,1961,69.3,6870,Russia,RUS
Russia,1962,69.1,7410,Russia,RUS
Russia,1963,69.4,7740,Russia,RUS
Russia,1964,70.2,8300,Russia,RUS
Russia,1965,70,8820,Russia,RUS
Russia,1966,69.9,9530,Russia,RUS
Russia,1967,69.7,10200,Russia,RUS
Russia,1968,69.5,11000,Russia,RUS
Russia,1969,69.1,11400,Russia,RUS
Russia,1970,69.2,12400,Russia,RUS
Russia,1971,69.3,13100,Russia,RUS
Russia,1972,69.3,13600,Russia,RUS
Russia,1973,69.2,14700,Russia,RUS
Russia,1974,69.2,15400,Russia,RUS
Russia,1975,68.6,16100.000000000002,Russia,RUS
Russia,1976,68.3,16700,Russia,RUS
Russia,1977,68.1,17300,Russia,RUS
Russia,1978,68.1,17800,Russia,RUS
Russia,1979,67.8,18100,Russia,RUS
Russia,1980,67.7,18800,Russia,RUS
Russia,1981,68,19200,Russia,RUS
Russia,1982,68.5,19400,Russia,RUS
Russia,1983,68.3,19900,Russia,RUS
Russia,1984,67.8,20100,Russia,RUS
Russia,1985,68.5,20500,Russia,RUS
Russia,1986,70.2,21100,Russia,RUS
Russia,1987,70.2,21200,Russia,RUS
Russia,1988,70.1,21600,Russia,RUS
Russia,1989,69.8,21900,Russia,RUS
Russia,1990,69.5,21500,Russia,RUS
Russia,1991,69.3,20400,Russia,RUS
Russia,1992,68.1,17400,Russia,RUS
Russia,1993,65.5,15900,Russia,RUS
Russia,1994,64.2,13900,Russia,RUS
Russia,1995,64.8,13300,Russia,RUS
Russia,1996,66.1,12900,Russia,RUS
Russia,1997,67.2,13100,Russia,RUS
Russia,1998,67.5,12400,Russia,RUS
Russia,1999,66.2,13200,Russia,RUS
Russia,2000,65.6,14600,Russia,RUS
Russia,2001,65.5,15400,Russia,RUS
Russia,2002,65.4,16200,Russia,RUS
Russia,2003,65.2,17500,Russia,RUS
Russia,2004,65.5,18800,Russia,RUS
Russia,2005,65,20100,Russia,RUS
Russia,2006,66.5,21800,Russia,RUS
Russia,2007,67.5,23700,Russia,RUS
Russia,2008,67.7,25000,Russia,RUS
Russia,2009,68.7,23000,Russia,RUS
Russia,2010,68.8,24000,Russia,RUS
Russia,2011,70,25000,Russia,RUS
Russia,2012,70.5,26000,Russia,RUS
Russia,2013,70.9,26400,Russia,RUS
Russia,2014,71,26100,Russia,RUS
Russia,2015,71.5,25600,Russia,RUS
Russia,2016,72,25600,Russia,RUS
Russia,2017,72.9,26000,Russia,RUS
Russia,2018,73,26700,Russia,RUS
Russia,2019,73,27000,Russia,RUS
Russia,2020,71.2,26200,Russia,RUS
Russia,2021,73.3,27200,Russia,RUS
Ukraine,1949,66,4180,Ukraine,UKR
Ukraine,1950,68.2,4540,Ukraine,UKR
Ukraine,1951,68.3,4500,Ukraine,UKR
Ukraine,1952,68.5,4720,Ukraine,UKR
Ukraine,1953,68.7,4860,Ukraine,UKR
Ukraine,1954,68.9,5020,Ukraine,UKR
Ukraine,1955,69.2,5370,Ukraine,UKR
Ukraine,1956,69.3,5790,Ukraine,UKR
Ukraine,1957,69.5,5820,Ukraine,UKR
Ukraine,1958,69.7,6160,Ukraine,UKR
Ukraine,1959,69.9,6000,Ukraine,UKR
Ukraine,1960,71.1,6460,Ukraine,UKR
Ukraine,1961,71.1,6760,Ukraine,UKR
Ukraine,1962,71,6890,Ukraine,UKR
Ukraine,1963,71.5,6680,Ukraine,UKR
Ukraine,1964,72.1,7490,Ukraine,UKR
Ukraine,1965,71.7,7870,Ukraine,UKR
Ukraine,1966,71.8,8200,Ukraine,UKR
Ukraine,1967,71.5,8530,Ukraine,UKR
Ukraine,1968,71.5,8980,Ukraine,UKR
Ukraine,1969,71.2,9070,Ukraine,UKR
Ukraine,1970,70.9,9720,Ukraine,UKR
Ukraine,1971,71,9930,Ukraine,UKR
Ukraine,1972,71,9920,Ukraine,UKR
Ukraine,1973,71.1,10700,Ukraine,UKR
Ukraine,1974,71,10900,Ukraine,UKR
Ukraine,1975,70.6,11200,Ukraine,UKR
Ukraine,1976,70.6,11400,Ukraine,UKR
Ukraine,1977,70.3,11700,Ukraine,UKR
Ukraine,1978,70,12000,Ukraine,UKR
Ukraine,1979,69.8,12200,Ukraine,UKR
Ukraine,1980,69.8,12500,Ukraine,UKR
Ukraine,1981,69.8,13000,Ukraine,UKR
Ukraine,1982,70,13500,Ukraine,UKR
Ukraine,1983,70.1,14200,Ukraine,UKR
Ukraine,1984,69.8,14600,Ukraine,UKR
Ukraine,1985,70.3,14600,Ukraine,UKR
Ukraine,1986,71.7,14800,Ukraine,UKR
Ukraine,1987,71.4,15300,Ukraine,UKR
Ukraine,1988,71.3,15600,Ukraine,UKR
Ukraine,1989,71,16400,Ukraine,UKR
Ukraine,1990,70.6,15800,Ukraine,UKR
Ukraine,1991,69.9,14400,Ukraine,UKR
Ukraine,1992,69.2,13000,Ukraine,UKR
Ukraine,1993,68.6,11100,Ukraine,UKR
Ukraine,1994,67.9,8610,Ukraine,UKR
Ukraine,1995,67,7620,Ukraine,UKR
Ukraine,1996,67.3,6920,Ukraine,UKR
Ukraine,1997,67.9,6770,Ukraine,UKR
Ukraine,1998,68.7,6700,Ukraine,UKR
Ukraine,1999,68.3,6750,Ukraine,UKR
Ukraine,2000,68,7220,Ukraine,UKR
Ukraine,2001,68.2,7970,Ukraine,UKR
Ukraine,2002,68.1,8470,Ukraine,UKR
Ukraine,2003,68.3,9350,Ukraine,UKR
Ukraine,2004,68,10600,Ukraine,UKR
Ukraine,2005,67.8,11000,Ukraine,UKR
Ukraine,2006,68.4,11900,Ukraine,UKR
Ukraine,2007,68.1,12800,Ukraine,UKR
Ukraine,2008,68.3,13200,Ukraine,UKR
Ukraine,2009,70,11300,Ukraine,UKR
Ukraine,2010,70.8,11800,Ukraine,UKR
Ukraine,2011,71.5,12500,Ukraine,UKR
Ukraine,2012,71.6,12500,Ukraine,UKR
Ukraine,2013,71.8,12600,Ukraine,UKR
Ukraine,2014,71.7,12400,Ukraine,UKR
Ukraine,2015,72.5,11200,Ukraine,UKR
Ukraine,2016,72.9,11500,Ukraine,UKR
Ukraine,2017,73.8,11900,Ukraine,UKR
Ukraine,2018,73.9,12300,Ukraine,UKR
Ukraine,2019,73.8,12800,Ukraine,UKR
Ukraine,2020,73.2,12300,Ukraine,UKR
Ukraine,2021,74.1,12900,Ukraine,UKR
